"SECONDS";"PID";"VALUE";"UNITS"
"36285.178482";"Average fuel consumption";"10.3955195431706";"L/100km"
"36285.178482";"Average fuel consumption (total)";"31.1621027879851";"L/100km"
"36285.178482";"Calculated boost";"-0.708092836212032";"bar"
"36285.178482";"Calculated instant fuel rate";"0";"L/h"
"36285.178482";"Fuel used";"0.0283574758282411";"L"
"36285.178482";"Fuel used (total)";"0.0850057154813386";"L"
"36285.178482";"Fuel used price";"0.0286410505865235";"$"
"36285.178482";"Fuel used price (total)";"0.06";"$"
"36285.178482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36285.178482";"MAF air flow rate";"4.51";"g/sec"
"36285.455482";"Average speed";"47.5040807137202";"km/h"
"36285.455482";"Calculated instant fuel consumption";"0";"L/100km"
"36285.455482";"Distance travelled";"0.289839813277778";"km"
"36285.455482";"Distance travelled (total)";"0.289839813277778";"km"
"36285.455482";"Vehicle acceleration";"-0.710400520704526";"m_sec2"
"36285.455482";"Vehicle speed";"37";"km/h"
"36285.744482";"Engine RPM";"1100";"rpm"
"36286.020482";"Oxygen sensor 1 Wide Range Current (mA)";"0.62109375";"mA"
"36286.020482";"Oxygen sensor 1 Wide Range Equivalence ratio";"19.942608";""
"36286.573482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36286.573482";"Throttle position";"14.9019607843137";"%"
"36286.851482";"Average fuel consumption";"9.78384422331371";"L/100km"
"36286.851482";"Average fuel consumption (total)";"29.3285158170698";"L/100km"
"36286.851482";"Calculated boost";"-0.652765338910608";"bar"
"36286.851482";"Calculated instant fuel rate";"0";"L/h"
"36286.851482";"Fuel used";"0.0283574758282411";"L"
"36286.851482";"Fuel used (total)";"0.0850057154813386";"L"
"36286.851482";"Fuel used price";"0.0286410505865235";"$"
"36286.851482";"Fuel used price (total)";"0.06";"$"
"36286.851482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36286.851482";"MAF air flow rate";"4.73";"g/sec"
"36287.128482";"Average speed";"46.1943741521465";"km/h"
"36287.128482";"Calculated instant fuel consumption";"0";"L/100km"
